id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,2,1979,1,3,4,3,,1,3,2,2,1
ft,Toncar,Florian Toncar,0,1,1979,1,3,2,1,2,3,3,2,2,1
rss,Schwarzeluehr-Suetter,Rita Schwarzeluehr-Suetter,0,2,1962,1,1,1,2,1,2,2,2,2,
tl,Lindner,Tobias Lindner,0,1,1982,2,3,1,3,,0,3,2,2,
bs,Strasser,Benjamin Strasser,0,1,1987,1,2,2,1,1,0,3,2,2,1
co,Oezdemir,Cem Oezdemir,0,1,1965,3,1,3,3,3,2,6,5,5,
mat,Theurer,Michael A. Theurer,0,1,1967,1,1,1,1,2,2,3,2,4,
ck,Kuehn,Chris Kuehn,0,1,1979,1,4,4,3,2,3,2,2,1,1
jb,Brandenburg,Jens Brandenburg,0,1,1986,1,3,4,1,,0,3,2,,
3_ua,U_Aus,3. Untersuchungsausschuss,1,,,,,,,,,,,,
sefep,Smart-Energy,Agora Verkehrswende Smart Energy for Europe Plattform GmbH,1,,,,,,,,,,,,
unial,AL-Uni,Albert-Ludwigs-Uni Freiburg,1,,,,,,,,,,,,
aeltr,Altrat,Aeltestenrat,1,,,,,,,,,,,,
ajc_ev,Jewish,American Jewish Committee e.V.,1,,,,,,,,,,,,
ai,Amnesty,Amnesty International,1,,,,,,,,,,,,
ass,Anwaltservice,AnwaltService Stuttgart GmbH,1,,,,,,,,,,,,
ag_og,AG-Otto,Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,,,,,,,,,,,,
ag_sfk,AG-Frau,Arbeitsgemeinschaft Sozialdemokratischer Frauen Kreisverband Waldshut,1,,,,,,,,,,,,
asy,Asyl,Asylos,1,,,,,,,,,,,,
au_bwsk,AusBau,"Ausschuss fuer Bau, Wohnen, Stadtentwicklung und Kommunen",1,,,,,,,,,,,,
au_bft,AusBild,"Ausschuss fuer Bildung, Forschung und Technikfolgenabschaetzung",1,,,,,,,,,,,,
au_eu,AusEu,Ausschuss fuer die Angelegenheiten der EU,1,,,,,,,,,,,,
au_fsfj,AusFam,"Ausschuss fuer Familie, Senioren, Frauen und Jugend",1,,,,,,,,,,,,
au_ih,AusHeim,Ausschuss fuer Inneres und Heimat,1,,,,,,,,,,,,
au_km,AusKult,Ausschuss fuer Kultur und Medien,1,,,,,,,,,,,,
au_rv,AusRecht,Ausschuss fuer Recht und Verbraucherschutz,1,,,,,,,,,,,,
au_uns,AusUmwelt,"Ausschuss fuer Umwelt, Naturschutz und nukleare Sicherheit",1,,,,,,,,,,,,
au_vdi,AusVerkehr,Ausschuss fuer Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
au_wig,AusWahl,"Ausschuss fuer Wahlpruefung, Immunitaet und Geschaeftsordnung",1,,,,,,,,,,,,
au_au,AusAus,Auswaertiger Ausschuss,1,,,,,,,,,,,,
